Protocol,Model_1,Model_2,MAE_Model_1,MAE_Model_2,MAE_Difference_M1_minus_M2,RMSE_Difference_M1_minus_M2,MASE_48_Difference_M1_minus_M2,Percentage_MAE_Improvement_M1_vs_M2,Percentage_MASE_Improvement_M1_vs_M2,Paired_Cohens_d_Absolute_Error,Practical_Winner
A,Naive,Daily_Seasonal_Naive,42.271787459502775,129.41617978659912,-87.14439232709634,-142.16994548037414,-0.7444550027109575,67.33655132672989,67.33655132672989,-0.5356825005404211,Naive
A,Naive,Weekly_Seasonal_Naive,42.271787459502775,153.21076877564104,-110.93898131613827,-208.88953012287755,-0.9477268408328399,72.40938884563344,72.40938884563344,-0.4938814395129385,Naive
A,Naive,Moving_Average,42.271787459502775,179.12222589245587,-136.8504384329531,-169.38661949254325,-1.1690826086915287,76.40059057501745,76.40059057501745,-0.9302653125550364,Naive
A,Naive,ARIMA,42.271787459502775,28.881333767223815,13.39045369227896,6.590785665737499,0.11439164326683693,-46.36369566655959,-46.36369566655959,0.45206082217446397,ARIMA
A,Naive,SARIMA,42.271787459502775,17.131137451608996,25.14065000789378,32.92179183611499,0.21477093557013988,-146.75411996961424,-146.75411996961424,0.5820776338172806,SARIMA
A,Naive,Prophet,42.271787459502775,177.10925541480796,-134.8374679553052,-185.57740574743596,-1.1518862532821112,76.13236679218264,76.13236679218264,-0.7809276556775208,Naive
A,Naive,Simple_Exponential_Smoothing,42.271787459502775,243.8381772340173,-201.56638977451453,-243.40906287468704,-1.7219364693345387,82.66399956765854,82.66399956765854,-1.0608220852458405,Naive
A,Naive,Holt_Winters,42.271787459502775,179.62294129326145,-137.35115383375867,-211.36048989136538,-1.1733601080820228,76.46637609029699,76.46637609029699,-0.6615805266831517,Naive
A,Naive,DHR_ARIMA,42.271787459502775,26.646643448801345,15.62514401070143,7.982835061611858,0.13348210155834617,-58.63831983462931,-58.63831983462931,0.46508467748082444,DHR_ARIMA
A,Naive,LSTM,42.271787459502775,47.01906813585456,-4.747280676351785,-13.29338789310146,-0.040554954305238256,10.096500982612476,10.096500982612476,-0.10255067798449509,Naive
