Protocol,Model_1,Model_2,MAE_Model_1,MAE_Model_2,MAE_Difference_M1_minus_M2,RMSE_Difference_M1_minus_M2,MASE_48_Difference_M1_minus_M2,Percentage_MAE_Improvement_M1_vs_M2,Percentage_MASE_Improvement_M1_vs_M2,Paired_Cohens_d_Absolute_Error,Practical_Winner
B,Naive,Daily_Seasonal_Naive,243.8381789817221,129.41617978659912,114.42199919512299,101.23911909006748,0.9774814815538315,-88.41398299949759,-88.41398299949759,0.5131538876355887,Daily_Seasonal_Naive
B,Naive,Weekly_Seasonal_Naive,243.8381789817221,153.21076877564104,90.62741020608107,34.51953444756407,0.7742096434319492,-59.15211504407639,-59.15211504407639,0.33924712281611524,Weekly_Seasonal_Naive
B,Naive,Moving_Average,243.8381789817221,203.19927685445023,40.63890212727188,41.420656432076214,0.347169028154684,-19.999530882376686,-19.999530882376686,0.27720658700022555,Moving_Average
B,Naive,ARIMA,243.8381789817221,521.9705076308351,-278.132328649113,-267.56860556583985,-2.3760221162744726,53.285065838590015,53.285065838590015,-1.593373058226959,Naive
B,Naive,SARIMA,243.8381789817221,122.78225628042182,121.05592270130029,105.64597526777717,1.0341536025003895,-98.59398773778943,-98.59398773778943,0.5288858454738117,SARIMA
B,Naive,Prophet,243.8381789817221,177.10925541480796,66.72892356691415,57.831658823005654,0.5700502309826778,-37.6767004133286,-37.6767004133286,0.318354516706382,Prophet
B,Naive,Simple_Exponential_Smoothing,243.8381789817221,243.8381772340173,1.7477048004366225e-06,1.6957545767581905e-06,1.4930250369360465e-08,-7.167478121193912e-07,-7.167478121193912e-07,0.6780529820302913,Simple_Exponential_Smoothing
B,Naive,Holt_Winters,243.8381789817221,179.62294129326145,64.21523768846066,32.04857467907624,0.5485763761827662,-35.75002014003302,-35.75002014003302,0.27581487330322496,Holt_Winters
B,Naive,DHR_ARIMA,243.8381789817221,287.456182635078,-43.618003653355885,-28.209831246190788,-0.37261882446920236,15.173792142341359,15.173792142341359,-0.25929940719064104,Naive
B,Naive,LSTM,243.8381789817221,152.92681668695312,90.91136229476899,91.15796226266988,0.7766353824532335,-59.44762616805653,-59.44762616805653,0.5160586577253439,LSTM
B,Naive,Chronos_Bolt_Tiny,243.8381789817221,126.11953364912506,117.71864533259705,112.83711181352777,1.0056439902784142,-93.33894752584483,-93.33894752584483,0.5669890642900624,Chronos_Bolt_Tiny
B,Naive,TimesFM,243.8381789817221,80.67538403053535,163.16279495118675,174.6969164428504,1.393863170240325,-202.24607160150634,-202.24607160150634,0.8630689009879471,TimesFM
B,Daily_Seasonal_Naive,Weekly_Seasonal_Naive,129.41617978659912,153.21076877564104,-23.794588989041927,-66.7195846425034,-0.20327183812188232,15.530624367459623,15.530624367459623,-0.10751674223654371,Daily_Seasonal_Naive
B,Daily_Seasonal_Naive,Moving_Average,129.41617978659912,203.19927685445023,-73.78309706785112,-59.81846265799126,-0.6303124533991475,36.310708487757694,36.310708487757694,-0.45066666903215363,Daily_Seasonal_Naive
B,Daily_Seasonal_Naive,ARIMA,129.41617978659912,521.9705076308351,-392.55432784423596,-368.80772465590735,-3.353503597828304,75.206227575193,75.206227575193,-1.3504469719437409,Daily_Seasonal_Naive
B,Daily_Seasonal_Naive,SARIMA,129.41617978659912,122.78225628042182,6.633923506177297,4.406856177709699,0.056672120946557936,-5.402998533457563,-5.402998533457563,0.1195139365644077,SARIMA
B,Daily_Seasonal_Naive,Prophet,129.41617978659912,177.10925541480796,-47.693075628208845,-43.40746026706182,-0.4074312505711537,26.92861844882516,26.92861844882516,-0.23972244036265308,Daily_Seasonal_Naive
B,Daily_Seasonal_Naive,Simple_Exponential_Smoothing,129.41617978659912,243.8381772340173,-114.42199744741819,-101.2391173943129,-0.9774814666235812,46.925382540735065,46.925382540735065,-0.5131538816556792,Daily_Seasonal_Naive
B,Daily_Seasonal_Naive,Holt_Winters,129.41617978659912,179.62294129326145,-50.20676150666233,-69.19054441099124,-0.4289051053710653,27.951196626210596,27.951196626210596,-0.24114948059752822,Daily_Seasonal_Naive
B,Daily_Seasonal_Naive,DHR_ARIMA,129.41617978659912,287.456182635078,-158.04000284847888,-129.44895033625826,-1.3501003060230339,54.97881499703511,54.97881499703511,-0.7075760971565255,Daily_Seasonal_Naive
B,Daily_Seasonal_Naive,LSTM,129.41617978659912,152.92681668695312,-23.510636900354,-10.081156827397592,-0.20084609910059803,15.373782969981745,15.373782969981745,-0.15571771423002218,Daily_Seasonal_Naive
B,Daily_Seasonal_Naive,Chronos_Bolt_Tiny,129.41617978659912,126.11953364912506,3.296646137474056,11.597992723460294,0.028162508724582702,-2.613906063628175,-2.613906063628175,0.02925545947809155,Chronos_Bolt_Tiny
B,Daily_Seasonal_Naive,TimesFM,129.41617978659912,80.67538403053535,48.74079575606376,73.45779735278292,0.4163816886864935,-60.415945138377694,-60.415945138377694,0.387114196402059,TimesFM
B,Weekly_Seasonal_Naive,Moving_Average,153.21076877564104,203.19927685445023,-49.98850807880919,6.9011219845121445,-0.4270406152772652,24.600731288337947,24.600731288337947,-0.20418451534154192,Weekly_Seasonal_Naive
B,Weekly_Seasonal_Naive,ARIMA,153.21076877564104,521.9705076308351,-368.75973885519403,-302.0881400134039,-3.150231759706422,70.64761963831111,70.64761963831111,-1.0604867594998946,Weekly_Seasonal_Naive
B,Weekly_Seasonal_Naive,SARIMA,153.21076877564104,122.78225628042182,30.428512495219223,71.1264408202131,0.25994395906844026,-24.78249986359893,-24.78249986359893,0.13360869549232524,SARIMA
B,Weekly_Seasonal_Naive,Prophet,153.21076877564104,177.10925541480796,-23.89848663916692,23.312124375441584,-0.20415941244927138,13.493640737856541,13.493640737856541,-0.12712206541824356,Weekly_Seasonal_Naive
B,Weekly_Seasonal_Naive,Simple_Exponential_Smoothing,153.21076877564104,243.8381772340173,-90.62740845837627,-34.51953275180949,-0.7742096285016988,37.16702998948314,37.16702998948314,-0.3392471174252128,Weekly_Seasonal_Naive
B,Weekly_Seasonal_Naive,Holt_Winters,153.21076877564104,179.62294129326145,-26.412172517620405,-2.4709597684878304,-0.22563326724918298,14.70423116749801,14.70423116749801,-0.1289048377219606,Weekly_Seasonal_Naive
B,Weekly_Seasonal_Naive,DHR_ARIMA,153.21076877564104,287.456182635078,-134.24541385943695,-62.72936569375486,-1.1468284679011516,46.701174637756814,46.701174637756814,-0.5507126876731737,Weekly_Seasonal_Naive
