Protocol,Weight_Scheme,Score_Type,Model,Trust_Score,Rank
B,Primary,Missing Evidence Penalised,TimesFM,91.07884200000001,1
B,Primary,Evidence Available,Naive,43.80453251310426,7
B,Primary,Evidence Available,Daily_Seasonal_Naive,69.50745691450145,2
B,Primary,Evidence Available,Weekly_Seasonal_Naive,52.48220694343498,5
B,Primary,Evidence Available,Moving_Average,48.714846696077345,6
B,Primary,Evidence Available,DHR_ARIMA,38.00238947516424,8
B,Primary,Evidence Available,LSTM,56.52451281990313,4
B,Primary,Evidence Available,Chronos_Bolt_Tiny,66.31149135536495,3
B,Primary,Evidence Available,TimesFM,91.078842,1
B,Accuracy-heavy,Missing Evidence Penalised,Naive,36.603944051246046,7
B,Accuracy-heavy,Missing Evidence Penalised,Daily_Seasonal_Naive,58.47436804368329,3
B,Accuracy-heavy,Missing Evidence Penalised,Weekly_Seasonal_Naive,45.80549523910047,5
B,Accuracy-heavy,Missing Evidence Penalised,Moving_Average,40.899951155752035,6
B,Accuracy-heavy,Missing Evidence Penalised,DHR_ARIMA,31.46376338804226,8
B,Accuracy-heavy,Missing Evidence Penalised,LSTM,47.350797429197684,4
B,Accuracy-heavy,Missing Evidence Penalised,Chronos_Bolt_Tiny,65.90227617480036,2
B,Accuracy-heavy,Missing Evidence Penalised,TimesFM,91.07884200000001,1
B,Accuracy-heavy,Evidence Available,Naive,43.06346358970123,7
B,Accuracy-heavy,Evidence Available,Daily_Seasonal_Naive,68.79337416903917,2
B,Accuracy-heavy,Evidence Available,Weekly_Seasonal_Naive,53.88881792835351,5
B,Accuracy-heavy,Evidence Available,Moving_Average,48.117589595002386,6
B,Accuracy-heavy,Evidence Available,DHR_ARIMA,37.016192221226184,8
B,Accuracy-heavy,Evidence Available,LSTM,55.706820504938456,4
B,Accuracy-heavy,Evidence Available,Chronos_Bolt_Tiny,65.90227617480036,3
B,Accuracy-heavy,Evidence Available,TimesFM,91.078842,1
B,Trust-balance,Missing Evidence Penalised,Naive,36.233969325075535,7
B,Trust-balance,Missing Evidence Penalised,Daily_Seasonal_Naive,56.65581178833277,3
B,Trust-balance,Missing Evidence Penalised,Weekly_Seasonal_Naive,41.02355824050242,5
B,Trust-balance,Missing Evidence Penalised,Moving_Average,39.93453590004004,6
