Protocol,Segment,Model,MAE,RMSE,MAPE,sMAPE,MASE_48,N,Days,Start,End
B,Earlier,Naive,233.1402114984424,292.98089479747705,20.99246078382769,18.476932911201413,1.9916645483238893,15408,321,2012-07-13 00:00:00,2013-05-29 23:30:00
B,Earlier,Daily_Seasonal_Naive,135.7653660101246,209.2603145970453,10.797465765633394,10.586408942243796,1.1598130782959717,15408,321,2012-07-13 00:00:00,2013-05-29 23:30:00
B,Earlier,Weekly_Seasonal_Naive,159.06010747780374,267.7882157936988,12.090377877903016,11.782878698744195,1.3588148311268295,15408,321,2012-07-13 00:00:00,2013-05-29 23:30:00
B,Earlier,Moving_Average,209.3556080762292,269.52307393472,17.808623478875056,16.483084698703447,1.7884780146602983,15408,321,2012-07-13 00:00:00,2013-05-29 23:30:00
B,Earlier,DHR_ARIMA,265.685096703399,304.5742590606188,23.447308865047532,20.67958148368048,2.2696882048839497,15408,321,2012-07-13 00:00:00,2013-05-29 23:30:00
B,Earlier,LSTM,143.89837181721413,199.61047851551692,12.084883578977596,11.21764683818894,1.229291523190497,15408,321,2012-07-13 00:00:00,2013-05-29 23:30:00
B,Earlier,Chronos_Bolt_Tiny,131.21917960228453,200.34284747997825,10.59363139736133,10.0384303792604,1.1209760272339866,15408,321,2012-07-13 00:00:00,2013-05-29 23:30:00
B,Earlier,TimesFM,82.99662175155763,130.56722192757374,6.4528659546524425,6.356554474102462,0.7090215287650158,15408,321,2012-07-13 00:00:00,2013-05-29 23:30:00
B,Middle,Naive,244.1216823970052,302.8943813993181,22.88987157793092,19.74434273260041,2.08547679176549,15360,320,2013-05-30 00:00:00,2014-04-14 23:30:00
B,Middle,Daily_Seasonal_Naive,131.05710409622395,206.1124574755673,10.761521978510284,10.601843554083723,1.119591452528929,15360,320,2013-05-30 00:00:00,2014-04-14 23:30:00
B,Middle,Weekly_Seasonal_Naive,169.8711156436198,307.92918231575305,13.109335271807325,12.54870345648376,1.4511708496665132,15360,320,2013-05-30 00:00:00,2014-04-14 23:30:00
B,Middle,Moving_Average,203.13217438578587,263.0703904728955,17.704924333760996,16.42962707323079,1.7353126161628225,15360,320,2013-05-30 00:00:00,2014-04-14 23:30:00
B,Middle,DHR_ARIMA,294.3158224412151,339.08485938223606,26.92165154469886,23.19541919717585,2.514274074813015,15360,320,2013-05-30 00:00:00,2014-04-14 23:30:00
