Protocol,Regime,Model,MAE,RMSE,MAPE,sMAPE,MASE_48,Days,Forecast_Points
B,Low Demand Days,Naive,294.462989193031,332.1379873139439,33.460640443779134,27.313123458159396,2.5155312873736437,226,10848
B,Low Demand Days,Daily_Seasonal_Naive,118.30279633609882,166.50004701310104,12.742983823796855,11.616412978281659,1.010634261313448,226,10848
B,Low Demand Days,Weekly_Seasonal_Naive,121.52055140984514,212.44734108906445,12.843794983464797,11.14764584748299,1.038122821370848,226,10848
B,Low Demand Days,Moving_Average,174.5998781583093,209.72018841838286,19.20448136149686,17.21243805329523,1.4915676074691153,226,10848
B,Low Demand Days,DHR_ARIMA,339.7798251691522,373.92871796826586,37.65040640958177,30.40644880316425,2.9026628554362914,226,10848
B,Low Demand Days,LSTM,206.9416739667009,261.97411533670345,23.243622306685644,19.403112041845095,1.7678563168543433,226,10848
B,Low Demand Days,Chronos_Bolt_Tiny,136.6469762457596,182.5001268818573,14.942363200232606,13.278011300371897,1.1673444768499504,226,10848
B,Low Demand Days,TimesFM,76.9934908281711,110.57852505571643,8.366026769210508,7.8142537518861035,0.6577381274066204,226,10848
B,High Demand Days,Naive,409.3037406016667,481.4796176434062,23.05824317405449,23.67302186795928,3.4965900751880516,50,2400
B,High Demand Days,Daily_Seasonal_Naive,253.35253326416665,349.2034191838528,14.010932337292289,14.926143699103392,2.1643338808314536,50,2400
B,High Demand Days,Weekly_Seasonal_Naive,532.4960336883333,677.9379963324194,27.389735539942567,33.808991387563594,4.548994210838754,50,2400
B,High Demand Days,Moving_Average,380.88128547314244,454.34782005946306,22.699631648180358,21.90629033478875,3.2537834143723283,50,2400
B,High Demand Days,DHR_ARIMA,392.75649774702885,496.03512427552073,20.299999557399566,22.453961408206933,3.3552306899740247,50,2400
B,High Demand Days,LSTM,270.7574859915553,352.7307476446301,14.126359508814199,15.266286421988596,2.3130204891586694,50,2400
B,High Demand Days,Chronos_Bolt_Tiny,256.5340020783333,365.593134530809,13.602168583233606,14.479227497025477,2.191512455509962,50,2400
B,High Demand Days,TimesFM,184.81513757,251.71604909792455,9.845752776363753,10.306603893817652,1.578834277990825,50,2400
B,High Volatility Days,Naive,278.92912776150797,351.21100210297004,22.623919796142395,19.75495803662102,2.3828289924203476,210,10080
B,High Volatility Days,Daily_Seasonal_Naive,122.51895540773809,190.28748189108822,8.384906807097604,8.747019403614662,1.0466519628463908,210,10080
B,High Volatility Days,Weekly_Seasonal_Naive,157.27511692876985,293.0497076652267,9.690682754173999,10.690594670835193,1.3435660571261774,210,10080
B,High Volatility Days,Moving_Average,242.11670389803993,301.3150429185224,18.754479863702052,17.393062611579886,2.068348710037866,210,10080
B,High Volatility Days,DHR_ARIMA,262.40710266073205,324.262107268809,20.1656980790472,18.531928712367172,2.2416850368228265,210,10080
B,High Volatility Days,LSTM,144.93265253073426,213.08352852237357,10.365270723547425,9.887632876933313,1.2381271514027798,210,10080
B,High Volatility Days,Chronos_Bolt_Tiny,113.39265763928573,180.55668655536255,7.6922122171645,7.835065944146996,0.968688047458095,210,10080
B,High Volatility Days,TimesFM,74.58135010198413,116.6282913986047,5.017301311211273,5.030592603490841,0.6371317500724086,210,10080
B,Peak Demand Days,Naive,437.1130433421053,511.2665048787092,23.7160999336151,24.754901130156508,3.7341587126434055,38,1824
B,Peak Demand Days,Daily_Seasonal_Naive,253.26576504605265,342.22550233825075,13.392453036664268,14.908375005255417,2.1635926394006932,38,1824
B,Peak Demand Days,Weekly_Seasonal_Naive,594.0727164166666,739.3793128758067,29.755773168390952,37.29924423627391,5.075030003657054,38,1824
B,Peak Demand Days,Moving_Average,388.4428582557734,463.23437169811535,22.263485822952784,21.981356666637065,3.318380235074953,38,1824
B,Peak Demand Days,DHR_ARIMA,444.73060442023865,545.753719649448,22.2810041430785,24.96695972650733,3.799233828799897,38,1824
B,Peak Demand Days,LSTM,293.3969438033593,378.3627351614558,14.6365936564055,16.132204537645027,2.506424300655793,38,1824
B,Peak Demand Days,Chronos_Bolt_Tiny,270.55297205372807,376.938932656754,13.670197104604961,15.23263104112382,2.3112733724472676,38,1824
B,Peak Demand Days,TimesFM,198.35623124671054,265.18836498706133,10.249792948918671,10.868860934003019,1.6945128048657025,38,1824
