Protocol,Segment,Model,MAE,RMSE,MAPE,sMAPE,MASE_48,N,Start,End
A,Earlier,Naive,40.32162190109034,56.162957979882776,3.248734931788277,3.267029003261518,0.344458574328171,15408,2012-07-13 00:00:00,2013-05-29 23:30:00
A,Earlier,Daily_Seasonal_Naive,135.7653660101246,209.2603145970453,10.797465765633394,10.586408942243796,1.1598130782959717,15408,2012-07-13 00:00:00,2013-05-29 23:30:00
A,Earlier,Weekly_Seasonal_Naive,159.06010747780374,267.7882157936988,12.090377877903016,11.782878698744195,1.3588148311268295,15408,2012-07-13 00:00:00,2013-05-29 23:30:00
A,Earlier,Moving_Average,182.10298268126132,232.9508680214943,15.115385375993418,14.5276569875766,1.5556649469400117,15408,2012-07-13 00:00:00,2013-05-29 23:30:00
A,Earlier,DHR_ARIMA,25.29285677304865,47.93672236367765,1.988851202276157,2.0069728946857364,0.2160712038345703,15408,2012-07-13 00:00:00,2013-05-29 23:30:00
A,Earlier,LSTM,45.4380748738895,69.59067419154559,3.7295969966982,3.701305713386714,0.3881672847801153,15408,2012-07-13 00:00:00,2013-05-29 23:30:00
A,Earlier,Chronos_Bolt_Tiny,32.20038179062824,45.3814914552932,2.542391782534388,2.553515510814106,0.275080641141637,15408,2012-07-13 00:00:00,2013-05-29 23:30:00
A,Earlier,TimesFM,15.64073040199896,25.30311363920284,1.2552338290888303,1.2632006295254403,0.1336152526041656,15408,2012-07-13 00:00:00,2013-05-29 23:30:00
A,Middle,Naive,42.45789993372396,58.633382346341854,3.4887496579034054,3.51044800013047,0.3627083185297967,15360,2013-05-30 00:00:00,2014-04-14 23:30:00
A,Middle,Daily_Seasonal_Naive,131.05710409622395,206.1124574755673,10.761521978510284,10.601843554083723,1.119591452528929,15360,2013-05-30 00:00:00,2014-04-14 23:30:00
A,Middle,Weekly_Seasonal_Naive,169.8711156436198,307.92918231575305,13.109335271807325,12.54870345648376,1.4511708496665132,15360,2013-05-30 00:00:00,2014-04-14 23:30:00
A,Middle,Moving_Average,178.5649468840956,228.91098347668247,15.16678780678852,14.601371140013963,1.525440300481016,15360,2013-05-30 00:00:00,2014-04-14 23:30:00
A,Middle,DHR_ARIMA,26.989539668514187,50.62819358620703,2.173921182329404,2.189870937119084,0.2305655853525728,15360,2013-05-30 00:00:00,2014-04-14 23:30:00
A,Middle,LSTM,47.70093663716676,72.67820289775693,3.990419830265049,3.961072930205774,0.4074984054079573,15360,2013-05-30 00:00:00,2014-04-14 23:30:00
A,Middle,Chronos_Bolt_Tiny,31.918759810937495,44.504682543032914,2.6171262461190685,2.6328788968239203,0.2726748077190205,15360,2013-05-30 00:00:00,2014-04-14 23:30:00
A,Middle,TimesFM,16.53293108424479,26.71135123176099,1.365768090303789,1.374137648401106,0.1412371229687778,15360,2013-05-30 00:00:00,2014-04-14 23:30:00
A,Later,Naive,44.036420333333325,59.95757920569056,3.660262708037429,3.683258346317188,0.3761932643420254,15408,2014-04-15 00:00:00,2015-03-01 23:30:00
A,Later,Daily_Seasonal_Naive,121.43118116718588,185.1109415343321,10.363757062153503,10.227797681624038,1.0373593514278658,15408,2014-04-15 00:00:00,2015-03-01 23:30:00
A,Later,Weekly_Seasonal_Naive,130.75298459761163,218.3305312981495,10.80204007868284,10.65804968783388,1.116993427846927,15408,2014-04-15 00:00:00,2015-03-01 23:30:00
A,Later,Moving_Average,176.69701204033348,220.95471167026344,15.447727838762637,14.894963299791463,1.5094829519696256,15408,2014-04-15 00:00:00,2015-03-01 23:30:00
A,Later,DHR_ARIMA,27.658602117363664,52.2112001125598,2.2654695152594178,2.2786307128344827,0.2362812358249804,15408,2014-04-15 00:00:00,2015-03-01 23:30:00
A,Later,LSTM,47.92031709744612,72.39058229014005,4.026342665068306,4.002128827652787,0.4093725234870529,15408,2014-04-15 00:00:00,2015-03-01 23:30:00
A,Later,Chronos_Bolt_Tiny,32.8756059855919,44.74535921915064,2.771150415505974,2.79075793158473,0.2808489300294107,15408,2014-04-15 00:00:00,2015-03-01 23:30:00
A,Later,TimesFM,16.991663808670822,27.442173485577417,1.4270266340829236,1.4354394263038956,0.1451559737690031,15408,2014-04-15 00:00:00,2015-03-01 23:30:00
A,Earlier,ARIMA,27.62692139040395,49.47113016490145,2.1812630797129575,2.196287231547115,0.2360105944785338,15408,2012-07-13 00:00:00,2013-05-29 23:30:00
A,Earlier,SARIMA,16.5696907320547,24.52330091047473,1.3447185560599118,1.3452550699456696,0.14155115239716912,15408,2012-07-13 00:00:00,2013-05-29 23:30:00
A,Earlier,Prophet,186.66387341569944,247.78147379826444,15.304114148863427,15.014681987858447,1.5946276137668791,15408,2012-07-13 00:00:00,2013-05-29 23:30:00
A,Earlier,Simple_Exponential_Smoothing,233.14021005081244,292.98089343268225,20.992460628981824,18.476932804761102,1.9916645359571115,15408,2012-07-13 00:00:00,2013-05-29 23:30:00
A,Earlier,Holt_Winters,193.4137265994109,280.12257453043435,15.659624216296056,15.007482535200436,1.6522900959529652,15408,2012-07-13 00:00:00,2013-05-29 23:30:00
A,Middle,ARIMA,29.094928655982645,52.006906925655166,2.342664880230317,2.358022691545959,0.24855145136779896,15360,2013-05-30 00:00:00,2014-04-14 23:30:00
A,Middle,SARIMA,17.20973147952036,25.491751070408085,1.4496621490852368,1.4499943841737084,0.14701887698237479,15360,2013-05-30 00:00:00,2014-04-14 23:30:00
A,Middle,Prophet,184.66687524354583,263.3059037536479,15.373626515826272,14.977613118884722,1.5775677061817284,15360,2013-05-30 00:00:00,2014-04-14 23:30:00
A,Middle,Simple_Exponential_Smoothing,244.12168059214275,302.89437968578494,22.88987138751878,19.74434259883523,2.0854767763469546,15360,2013-05-30 00:00:00,2014-04-14 23:30:00
A,Middle,Holt_Winters,181.5009608818248,282.6439071717306,14.699538458885423,14.512280004660754,1.550522009702589,15360,2013-05-30 00:00:00,2014-04-14 23:30:00
A,Later,ARIMA,29.922816659922717,53.4872411725576,2.4268861603546346,2.441878132051836,0.25562391294288456,15408,2014-04-15 00:00:00,2015-03-01 23:30:00
A,Later,SARIMA,17.614234984460374,26.01390064209043,1.5104581496751612,1.5111504340679067,0.1504744597206926,15408,2014-04-15 00:00:00,2015-03-01 23:30:00
A,Later,Prophet,160.02056157218394,218.38704718313755,13.698700302185648,13.804852293812967,1.3670197750864104,15408,2014-04-15 00:00:00,2015-03-01 23:30:00
A,Later,Simple_Exponential_Smoothing,254.25352424712827,308.95653753388325,24.840939343688145,20.99366301920575,2.172030844763976,15408,2014-04-15 00:00:00,2015-03-01 23:30:00
A,Later,Holt_Winters,163.95998692686186,244.4819738475725,13.572781631405133,13.754839852435218,1.4006734025291079,15408,2014-04-15 00:00:00,2015-03-01 23:30:00
