Model,MAE,RMSE,MAPE,sMAPE,MASE_48,Relative Accuracy Score,Relative Robustness Score,Relative Generalisation Score,Uncertainty Score,Explainability Score,Overall Trust Score - Missing Evidence Penalised,Evidence-Available Trust Score,Unavailable Dimensions
TimesFM,16.38829156817394,26.500199545599312,1.3493257771053488,1.3575753694486183,0.14000150001642006,100.0,100.0,100.0,67.55465,69.0,92.0331975,92.0331975,No unavailable dimensions
DHR_ARIMA,26.646643448801345,50.28931701112083,2.142714894671859,2.158458895937731,0.22763629983735872,61.5022736340593,59.237259827711064,61.27572331439785,,79.0,53.52839240034254,62.97457929452064,Uncertainty Score
Chronos_Bolt_Tiny,32.33201165869716,44.87908927221114,2.643583621963678,2.659077985440417,0.27620512558835025,50.68750976948743,33.528650441114564,52.02217429481287,65.9487419153083,63.0,51.04310465380233,51.04310465380233,No unavailable dimensions
Naive,42.271787459502775,58.27215207273269,3.4658920300552407,3.4868873173144648,0.3611184013957049,38.768863473952344,36.96608576432721,38.68784532363907,,99.0,38.59988843347658,45.411633451148916,Uncertainty Score
LSTM,47.01906813585456,71.56553996583415,3.9153752360830194,3.8880933735338123,0.40167335570094315,34.85456479235705,36.188931066550104,35.284161523474005,,57.0,32.19371619532979,37.874960229799754,Uncertainty Score
Daily_Seasonal_Naive,129.41617978659912,200.44209755310683,10.640789564285743,10.471881770861089,1.1055734041066625,12.663247822024589,6.8976162030529125,12.488936899226633,,99.0,18.209447358164518,21.422879244899434,Uncertainty Score
Weekly_Seasonal_Naive,153.21076877564104,267.16168219561024,11.99943186179044,11.66229014362408,1.3088452422285448,10.696566370065439,2.4843115397526288,9.845774382689283,,99.0,16.109815414011287,18.952724016483867,Uncertainty Score
Moving_Average,179.12222589245587,227.65877156527594,15.2433798753732,14.674739996933074,1.5302010100872336,9.149222820630529,4.097841922434651,9.388934595430642,,96.0,15.499583290793744,18.234803871522054,Uncertainty Score
