Timestamp,Actual,Naive,Persistence_Enhanced_LSTM,Chronos_Bolt_Tiny,TimesFM
2023-08-12 00:00:00+00:00,29415.0,29398.0,29293.649570465088,29454.22265625,29464.43359375
2023-08-13 00:00:00+00:00,29284.0,29415.0,29309.59687650204,29386.662109375,29481.603515625
2023-08-14 00:00:00+00:00,29408.0,29284.0,29177.102645158768,29053.404296875,29383.083984375
2023-08-15 00:00:00+00:00,29172.0,29408.0,29301.79461288452,28988.236328125,29387.412109375
2023-08-16 00:00:00+00:00,28701.0,29172.0,29062.02000260353,28751.79296875,29283.365234375
2023-08-17 00:00:00+00:00,26642.0,28701.0,28579.68992614746,28273.064453125,28895.416015625
2023-08-18 00:00:00+00:00,26051.0,26642.0,26478.48498415947,26497.435546875,27035.302734375
2023-08-19 00:00:00+00:00,26097.0,26051.0,25853.35376137495,26045.431640625,26035.30859375
2023-08-20 00:00:00+00:00,26192.0,26097.0,25886.255866348743,26052.6171875,26053.943359375
2023-08-21 00:00:00+00:00,26125.0,26192.0,25980.683847427368,26090.5390625,26101.970703125
2023-08-22 00:00:00+00:00,26042.0,26125.0,25917.63460636139,26071.806640625,26040.15625
2023-08-23 00:00:00+00:00,26431.0,26042.0,25839.869369983677,26070.505859375,25987.42578125
2023-08-24 00:00:00+00:00,26168.0,26431.0,26243.461574614048,26271.759765625,26310.44921875
2023-08-25 00:00:00+00:00,26048.0,26168.0,25989.759798049927,26163.365234375,26148.04296875
2023-08-26 00:00:00+00:00,26008.0,26048.0,25875.55629348755,26158.75390625,26032.724609375
2023-08-27 00:00:00+00:00,26090.0,26008.0,25842.14745903015,26094.931640625,25990.92578125
2023-08-28 00:00:00+00:00,26103.0,26090.0,25932.53518462181,26125.251953125,26039.69140625
2023-08-29 00:00:00+00:00,27726.0,26103.0,25953.81013637781,26186.65625,26072.869140625
2023-08-30 00:00:00+00:00,27300.0,27726.0,27613.50267040729,27312.62109375,27341.234375
2023-08-31 00:00:00+00:00,25932.0,27300.0,27204.375565052032,27181.609375,27228.8515625
2023-09-01 00:00:00+00:00,25798.0,25932.0,25816.818392515182,26353.724609375,26191.720703125
2023-09-02 00:00:00+00:00,25870.0,25798.0,25670.21258926392,26248.6640625,25953.39453125
