Model,Relative Accuracy Score,Relative Robustness Score,Relative Generalisation Score,Uncertainty Score,Explainability Score,Overall Trust Score - Missing Evidence Penalised
Naive,100.0,99.88233026270619,100.0,86.2277063822301,99.0,97.81062200987576
ARIMA Rolling One-Step,99.32068445699696,100.0,98.98851318911866,86.61508711921823,90.0,96.5522052656554
Chronos-Bolt-Tiny,92.95974951405974,95.3225421065877,93.75021249528652,93.78919540720618,69.0,91.31884256137668
TimesFM,96.33226340431844,98.0342508112841,95.99217698468394,78.04712535344015,63.0,90.52864655372109
Persistence-Enhanced LSTM,98.53986790003879,98.68438180412527,98.40765487038792,0.0,57.0,79.60736109991622
7-Day Moving Average,61.79562737671479,73.61204276491449,61.660333104209656,82.9763829367428,96.0,70.72940219618643
Prophet 30-Day Periodic Refit,17.19318032295354,25.009212568917764,17.03618830013938,0.0,82.0,22.626693286845168
