Timestamp,Prophet_Periodic_Refit
2023-08-12 00:00:00+00:00,29074.863701632465
2023-08-13 00:00:00+00:00,29035.169392881788
2023-08-14 00:00:00+00:00,28995.475084131103
2023-08-15 00:00:00+00:00,28955.780775380426
2023-08-16 00:00:00+00:00,28916.08646662975
2023-08-17 00:00:00+00:00,28876.39215787907
2023-08-18 00:00:00+00:00,28836.69784912839
2023-08-19 00:00:00+00:00,28797.00354037771
2023-08-20 00:00:00+00:00,28757.30923162703
2023-08-21 00:00:00+00:00,28717.614922876353
2023-08-22 00:00:00+00:00,28677.920614125673
2023-08-23 00:00:00+00:00,28638.226305374992
2023-08-24 00:00:00+00:00,28598.531996624315
2023-08-25 00:00:00+00:00,28558.83768787363
2023-08-26 00:00:00+00:00,28519.143379122954
2023-08-27 00:00:00+00:00,28479.449070372277
2023-08-28 00:00:00+00:00,28439.754761621596
2023-08-29 00:00:00+00:00,28400.06045287092
2023-08-30 00:00:00+00:00,28360.36614412024
2023-08-31 00:00:00+00:00,28320.671835369558
2023-09-01 00:00:00+00:00,28280.97752661888
2023-09-02 00:00:00+00:00,28241.283217868204
2023-09-03 00:00:00+00:00,28201.588909117523
2023-09-04 00:00:00+00:00,28161.894600366842
2023-09-05 00:00:00+00:00,28122.200291616165
2023-09-06 00:00:00+00:00,28082.505982865485
2023-09-07 00:00:00+00:00,28042.811674114804
2023-09-08 00:00:00+00:00,28003.117365364127
2023-09-09 00:00:00+00:00,27963.423056613447
2023-09-10 00:00:00+00:00,27923.72874786277
2023-09-11 00:00:00+00:00,25211.341682853803
2023-09-12 00:00:00+00:00,25108.39408508447
2023-09-13 00:00:00+00:00,25005.44648731513
2023-09-14 00:00:00+00:00,24902.498889545797
2023-09-15 00:00:00+00:00,24799.55129177646
2023-09-16 00:00:00+00:00,24696.603694007128
2023-09-17 00:00:00+00:00,24593.656096237788
2023-09-18 00:00:00+00:00,24490.70849846845
2023-09-19 00:00:00+00:00,24387.760900699115
2023-09-20 00:00:00+00:00,24284.813302929782
2023-09-21 00:00:00+00:00,24181.865705160446
2023-09-22 00:00:00+00:00,24078.918107391106
2023-09-23 00:00:00+00:00,23975.970509621773
2023-09-24 00:00:00+00:00,23873.022911852437
2023-09-25 00:00:00+00:00,23770.075314083104
2023-09-26 00:00:00+00:00,23667.127716313767
2023-09-27 00:00:00+00:00,23564.18011854443
2023-09-28 00:00:00+00:00,23461.23252077509
2023-09-29 00:00:00+00:00,23358.284923005758
2023-09-30 00:00:00+00:00,23255.337325236425
2023-10-01 00:00:00+00:00,23152.38972746709
2023-10-02 00:00:00+00:00,23049.442129697756
2023-10-03 00:00:00+00:00,22946.494531928416
2023-10-04 00:00:00+00:00,22843.54693415908
2023-10-05 00:00:00+00:00,22740.599336389743
2023-10-06 00:00:00+00:00,22637.651738620407
2023-10-07 00:00:00+00:00,22534.70414085107
2023-10-08 00:00:00+00:00,22431.756543081738
2023-10-09 00:00:00+00:00,22328.8089453124
2023-10-10 00:00:00+00:00,22225.861347543065
2023-10-11 00:00:00+00:00,27646.275372647026
2023-10-12 00:00:00+00:00,27695.58644369481
2023-10-13 00:00:00+00:00,27744.8975147426
2023-10-14 00:00:00+00:00,27794.208585790388
2023-10-15 00:00:00+00:00,27843.519656838173
2023-10-16 00:00:00+00:00,27892.83072788596
