Model,Calibration_Rows,Calibration_Start,Calibration_End,Conformal_Adjustment,Native_Test_Coverage_80,Calibrated_Test_Coverage_80,Native_Average_Width_80,Calibrated_Average_Width_80
Chronos_Bolt_Tiny,180,2023-02-13 00:00:00+00:00,2023-08-11 00:00:00+00:00,-136.9140625,0.8454288407163054,0.8152686145146089,5151.959880861215,4878.131755861215
TimesFM,180,2023-02-13 00:00:00+00:00,2023-08-11 00:00:00+00:00,541.06640625,0.3308199811498586,0.5560791705937794,1436.6274519910462,2518.760264491046
