Timestamp,Actual,Chronos_Bolt_Tiny_Native_Lower_80,Chronos_Bolt_Tiny_Native_Upper_80,Chronos_Bolt_Tiny_Calibrated_Lower_80,Chronos_Bolt_Tiny_Calibrated_Upper_80,TimesFM_Native_Lower_80,TimesFM_Native_Upper_80,TimesFM_Calibrated_Lower_80,TimesFM_Calibrated_Upper_80
2023-08-12 00:00:00+00:00,29415.0,28674.759765625,30033.166015625,28811.673828125,29896.251953125,29490.95703125,29652.95703125,28949.890625,30194.0234375
2023-08-13 00:00:00+00:00,29284.0,28523.033203125,30028.208984375,28659.947265625,29891.294921875,29510.12890625,29665.017578125,28969.0625,30206.083984375
2023-08-14 00:00:00+00:00,29408.0,28263.12890625,29601.939453125,28400.04296875,29465.025390625,29433.435546875,29584.99609375,28892.369140625,30126.0625
2023-08-15 00:00:00+00:00,29172.0,28254.935546875,29454.92578125,28391.849609375,29318.01171875,29440.28515625,29592.041015625,28899.21875,30133.107421875
2023-08-16 00:00:00+00:00,28701.0,28076.751953125,29205.41796875,28213.666015625,29068.50390625,29322.123046875,29487.287109375,28781.056640625,30028.353515625
2023-08-17 00:00:00+00:00,26642.0,27675.591796875,28755.361328125,27812.505859375,28618.447265625,28936.939453125,29190.9453125,28395.873046875,29732.01171875
2023-08-18 00:00:00+00:00,26051.0,25911.3671875,27102.373046875,26048.28125,26965.458984375,27126.80859375,27977.63671875,26585.7421875,28518.703125
2023-08-19 00:00:00+00:00,26097.0,25523.244140625,26600.0,25660.158203125,26463.0859375,26146.6953125,26680.677734375,25605.62890625,27221.744140625
2023-08-20 00:00:00+00:00,26192.0,25543.185546875,26626.375,25680.099609375,26489.4609375,26139.953125,26429.4140625,25598.88671875,26970.48046875
2023-08-21 00:00:00+00:00,26125.0,25561.337890625,26697.556640625,25698.251953125,26560.642578125,26186.013671875,26406.783203125,25644.947265625,26947.849609375
2023-08-22 00:00:00+00:00,26042.0,25589.0703125,26626.87890625,25725.984375,26489.96484375,26115.599609375,26246.662109375,25574.533203125,26787.728515625
2023-08-23 00:00:00+00:00,26431.0,25604.2421875,26584.70703125,25741.15625,26447.79296875,26051.435546875,26162.845703125,25510.369140625,26703.912109375
2023-08-24 00:00:00+00:00,26168.0,25803.357421875,26766.640625,25940.271484375,26629.7265625,26395.67578125,26655.388671875,25854.609375,27196.455078125
2023-08-25 00:00:00+00:00,26048.0,25725.390625,26614.462890625,25862.3046875,26477.548828125,26233.265625,26403.08203125,25692.19921875,26944.1484375
2023-08-26 00:00:00+00:00,26008.0,25751.0625,26618.00390625,25887.9765625,26481.08984375,26105.9296875,26274.953125,25564.86328125,26816.01953125
2023-08-27 00:00:00+00:00,26090.0,25696.236328125,26527.68359375,25833.150390625,26390.76953125,26052.955078125,26175.595703125,25511.888671875,26716.662109375
2023-08-28 00:00:00+00:00,26103.0,25720.767578125,26510.4609375,25857.681640625,26373.546875,26118.2265625,26213.43359375,25577.16015625,26754.5
2023-08-29 00:00:00+00:00,27726.0,25779.453125,26575.318359375,25916.3671875,26438.404296875,26144.005859375,26248.86328125,25602.939453125,26789.9296875
2023-08-30 00:00:00+00:00,27300.0,26543.392578125,28044.158203125,26680.306640625,27907.244140625,27448.896484375,28067.966796875,26907.830078125,28609.033203125
2023-08-31 00:00:00+00:00,25932.0,26499.076171875,27788.583984375,26635.990234375,27651.669921875,27276.75,27775.71484375,26735.68359375,28316.78125
2023-09-01 00:00:00+00:00,25798.0,25799.4765625,26968.5859375,25936.390625,26831.671875,26305.361328125,26622.6484375,25764.294921875,27163.71484375
2023-09-02 00:00:00+00:00,25870.0,25747.8359375,26817.3984375,25884.75,26680.484375,26114.009765625,26343.015625,25572.943359375,26884.08203125
2023-09-03 00:00:00+00:00,25970.0,25593.740234375,26787.142578125,25730.654296875,26650.228515625,26069.2421875,26243.48046875,25528.17578125,26784.546875
2023-09-04 00:00:00+00:00,25819.0,25578.85546875,26746.642578125,25715.76953125,26609.728515625,26102.96484375,26240.54296875,25561.8984375,26781.609375
2023-09-05 00:00:00+00:00,25783.0,25460.251953125,26647.55859375,25597.166015625,26510.64453125,25979.08984375,26074.6640625,25438.0234375,26615.73046875
2023-09-06 00:00:00+00:00,25748.0,25357.33203125,26626.833984375,25494.24609375,26489.919921875,25942.015625,26012.16796875,25400.94921875,26553.234375
2023-09-07 00:00:00+00:00,26245.0,25328.5078125,26573.322265625,25465.421875,26436.408203125,25910.037109375,25953.015625,25368.970703125,26494.08203125
2023-09-08 00:00:00+00:00,25908.0,25471.12890625,26725.779296875,25608.04296875,26588.865234375,26205.8359375,26372.8203125,25664.76953125,26913.88671875
2023-09-09 00:00:00+00:00,25899.0,25359.888671875,26516.748046875,25496.802734375,26379.833984375,26019.013671875,26142.90234375,25477.947265625,26683.96875
2023-09-10 00:00:00+00:00,25836.0,25417.548828125,26552.08203125,25554.462890625,26415.16796875,25968.00390625,26021.15625,25426.9375,26562.22265625
2023-09-11 00:00:00+00:00,25155.0,25396.8671875,26445.7109375,25533.78125,26308.796875,25936.14453125,25967.28515625,25395.078125,26508.3515625
2023-09-12 00:00:00+00:00,25844.0,25018.681640625,26082.390625,25155.595703125,25945.4765625,25571.853515625,25724.486328125,25030.787109375,26265.552734375
2023-09-13 00:00:00+00:00,26226.0,25345.814453125,26331.8828125,25482.728515625,26194.96875,25788.53125,25956.28125,25247.46484375,26497.34765625
2023-09-14 00:00:00+00:00,26529.0,25491.9921875,26458.759765625,25628.90625,26321.845703125,25980.419921875,26221.841796875,25439.353515625,26762.908203125
2023-09-15 00:00:00+00:00,26607.0,25607.412109375,26708.8671875,25744.326171875,26571.953125,26223.86328125,26549.044921875,25682.796875,27090.111328125
2023-09-16 00:00:00+00:00,26571.0,25712.794921875,26793.986328125,25849.708984375,26657.072265625,26445.19140625,26805.49609375,25904.125,27346.5625
2023-09-17 00:00:00+00:00,26535.0,25669.7421875,26821.6328125,25806.65625,26684.71875,26498.896484375,26833.71875,25957.830078125,27374.78515625
2023-09-18 00:00:00+00:00,26770.0,25675.79296875,26901.935546875,25812.70703125,26765.021484375,26565.990234375,26841.693359375,26024.923828125,27382.759765625
2023-09-19 00:00:00+00:00,27214.0,25985.78125,27574.787109375,26122.6953125,27437.873046875,26694.8828125,26991.658203125,26153.81640625,27532.724609375
2023-09-20 00:00:00+00:00,27128.0,26417.1015625,28093.25390625,26554.015625,27956.33984375,27077.294921875,27453.552734375,26536.228515625,27994.619140625
2023-09-21 00:00:00+00:00,26563.0,26347.435546875,28007.587890625,26484.349609375,27870.673828125,27024.841796875,27401.498046875,26483.775390625,27942.564453125
2023-09-22 00:00:00+00:00,26581.0,26132.552734375,27912.755859375,26269.466796875,27775.841796875,26592.58984375,26965.484375,26051.5234375,27506.55078125
2023-09-23 00:00:00+00:00,26583.0,26553.494140625,28357.216796875,26690.408203125,28220.302734375,26568.958984375,26891.34765625,26027.892578125,27432.4140625
2023-09-24 00:00:00+00:00,26248.0,26789.728515625,28769.673828125,26926.642578125,28632.759765625,26533.7109375,26877.439453125,25992.64453125,27418.505859375
2023-09-25 00:00:00+00:00,26297.0,25757.994140625,28064.24609375,25894.908203125,27927.33203125,26270.466796875,26593.2265625,25729.400390625,27134.29296875
2023-09-26 00:00:00+00:00,26208.0,25392.111328125,27606.51171875,25529.025390625,27469.59765625,26271.4140625,26563.3984375,25730.34765625,27104.46484375
2023-09-27 00:00:00+00:00,26361.0,25424.38671875,27159.76953125,25561.30078125,27022.85546875,26199.265625,26495.7421875,25658.19921875,27036.80859375
2023-09-28 00:00:00+00:00,27026.0,25401.505859375,27222.6796875,25538.419921875,27085.765625,26316.4375,26601.921875,25775.37109375,27142.98828125
2023-09-29 00:00:00+00:00,26911.0,26125.27734375,28129.595703125,26262.19140625,27992.681640625,26785.359375,27191.23828125,26244.29296875,27732.3046875
2023-09-30 00:00:00+00:00,26966.0,25824.541015625,27708.169921875,25961.455078125,27571.255859375,26708.306640625,27106.345703125,26167.240234375,27647.412109375
2023-10-01 00:00:00+00:00,27995.0,25831.490234375,27707.65625,25968.404296875,27570.7421875,26801.09765625,27146.04296875,26260.03125,27687.109375
2023-10-02 00:00:00+00:00,27507.0,27277.482421875,29186.9140625,27414.396484375,29050.0,27465.748046875,28068.7890625,26924.681640625,28609.85546875
2023-10-03 00:00:00+00:00,27435.0,26771.5,28502.89453125,26908.4140625,28365.98046875,27167.01171875,27667.650390625,26625.9453125,28208.716796875
2023-10-04 00:00:00+00:00,27790.0,26762.0859375,28340.333984375,26899.0,28203.419921875,27137.607421875,27581.96875,26596.541015625,28123.03515625
2023-10-05 00:00:00+00:00,27417.0,27334.2734375,28725.408203125,27471.1875,28588.494140625,27372.9296875,27858.013671875,26831.86328125,28399.080078125
2023-10-06 00:00:00+00:00,27948.0,26923.166015625,28286.830078125,27060.080078125,28149.916015625,27230.625,27629.279296875,26689.55859375,28170.345703125
2023-10-07 00:00:00+00:00,27971.0,27381.0546875,28696.068359375,27517.96875,28559.154296875,27520.5,27971.0234375,26979.43359375,28512.08984375
2023-10-08 00:00:00+00:00,27933.0,27317.2421875,28654.2265625,27454.15625,28517.3125,27659.248046875,28048.806640625,27118.181640625,28589.873046875
2023-10-09 00:00:00+00:00,27594.0,27309.9765625,28569.98828125,27446.890625,28433.07421875,27677.8203125,28059.322265625,27136.75390625,28600.388671875
2023-10-10 00:00:00+00:00,27395.0,26995.205078125,28219.291015625,27132.119140625,28082.376953125,27445.02734375,27805.78515625,26903.9609375,28346.8515625
2023-10-11 00:00:00+00:00,26874.0,26799.873046875,28088.28125,26936.787109375,27951.3671875,27285.49609375,27624.935546875,26744.4296875,28166.001953125
2023-10-12 00:00:00+00:00,26756.0,26095.625,27487.359375,26232.5390625,27350.4453125,26892.05859375,27217.369140625,26350.9921875,27758.435546875
2023-10-13 00:00:00+00:00,26867.0,25926.4375,27308.619140625,26063.3515625,27171.705078125,26757.189453125,27037.037109375,26216.123046875,27578.103515625
2023-10-14 00:00:00+00:00,26855.0,26176.626953125,27405.802734375,26313.541015625,27268.888671875,26823.822265625,27072.0703125,26282.755859375,27613.13671875
2023-10-15 00:00:00+00:00,27174.0,26155.556640625,27256.322265625,26292.470703125,27119.408203125,26796.318359375,27053.193359375,26255.251953125,27594.259765625
2023-10-16 00:00:00+00:00,28518.0,26606.634765625,27669.544921875,26743.548828125,27532.630859375,27045.212890625,27316.638671875,26504.146484375,27857.705078125
2023-10-17 00:00:00+00:00,28408.0,27799.736328125,29437.4765625,27936.650390625,29300.5625,28089.822265625,28762.513671875,27548.755859375,29303.580078125
2023-10-18 00:00:00+00:00,28328.0,27644.845703125,28803.17578125,27781.759765625,28666.26171875,28084.87890625,28477.115234375,27543.8125,29018.181640625
2023-10-19 00:00:00+00:00,28733.0,27771.587890625,28989.3203125,27908.501953125,28852.40625,28125.716796875,28538.552734375,27584.650390625,29079.619140625
2023-10-20 00:00:00+00:00,29688.0,28334.125,29701.130859375,28471.0390625,29564.216796875,28581.423828125,29012.724609375,28040.357421875,29553.791015625
2023-10-21 00:00:00+00:00,29927.0,29271.3984375,30811.94921875,29408.3125,30675.03515625,29371.353515625,29920.64453125,28830.287109375,30461.7109375
2023-10-22 00:00:00+00:00,30002.0,29456.751953125,30866.234375,29593.666015625,30729.3203125,29717.599609375,30263.724609375,29176.533203125,30804.791015625
2023-10-23 00:00:00+00:00,33074.0,29517.15625,30767.05859375,29654.0703125,30630.14453125,29842.30859375,30321.1640625,29301.2421875,30862.23046875
2023-10-24 00:00:00+00:00,33917.0,31238.8828125,35572.68359375,31375.796875,35435.76953125,31634.171875,33090.36328125,31093.10546875,33631.4296875
2023-10-25 00:00:00+00:00,34498.0,32310.466796875,37417.3984375,32447.380859375,37280.484375,33043.796875,34221.9765625,32502.73046875,34763.04296875
2023-10-26 00:00:00+00:00,34165.0,33541.51953125,38353.5234375,33678.43359375,38216.609375,33827.54296875,34589.38671875,33286.4765625,35130.453125
2023-10-27 00:00:00+00:00,33906.0,33162.75390625,37593.734375,33299.66796875,37456.8203125,33738.69140625,34348.29296875,33197.625,34889.359375
