Timestamp,Holt_Winters
2023-08-12 00:00:00+00:00,29418.077200575593
2023-08-13 00:00:00+00:00,29427.341376534798
2023-08-14 00:00:00+00:00,29305.24041580435
2023-08-15 00:00:00+00:00,29392.951694716077
2023-08-16 00:00:00+00:00,29198.951315798742
2023-08-17 00:00:00+00:00,28758.039461808625
2023-08-18 00:00:00+00:00,26857.103310828046
2023-08-19 00:00:00+00:00,26075.026950394265
2023-08-20 00:00:00+00:00,26057.31996997657
2023-08-21 00:00:00+00:00,26148.54808085121
2023-08-22 00:00:00+00:00,26094.62295920804
2023-08-23 00:00:00+00:00,26019.558294278893
2023-08-24 00:00:00+00:00,26381.787505976554
2023-08-25 00:00:00+00:00,26162.30102703404
2023-08-26 00:00:00+00:00,26048.600175542626
2023-08-27 00:00:00+00:00,26000.590241427708
2023-08-28 00:00:00+00:00,26071.57226888114
2023-08-29 00:00:00+00:00,26086.76640751806
2023-08-30 00:00:00+00:00,27594.343180485666
2023-08-31 00:00:00+00:00,27311.32842232431
2023-09-01 00:00:00+00:00,26036.0409278972
2023-09-02 00:00:00+00:00,25786.440206704006
2023-09-03 00:00:00+00:00,25838.591073266016
2023-09-04 00:00:00+00:00,25935.163597515006
2023-09-05 00:00:00+00:00,25801.065148119054
2023-09-06 00:00:00+00:00,25766.031786370942
2023-09-07 00:00:00+00:00,25725.548568318478
2023-09-08 00:00:00+00:00,26191.12622249345
2023-09-09 00:00:00+00:00,25902.334227446172
2023-09-10 00:00:00+00:00,25871.337367658998
2023-09-11 00:00:00+00:00,25816.61022603412
2023-09-12 00:00:00+00:00,25182.10446604489
2023-09-13 00:00:00+00:00,25778.228892695144
2023-09-14 00:00:00+00:00,26182.15329337775
2023-09-15 00:00:00+00:00,26497.75997643402
2023-09-16 00:00:00+00:00,26597.064610314985
2023-09-17 00:00:00+00:00,26569.92154286345
2023-09-18 00:00:00+00:00,26534.020947709814
2023-09-19 00:00:00+00:00,26750.23788840595
2023-09-20 00:00:00+00:00,27181.326928208116
2023-09-21 00:00:00+00:00,27130.864869252404
2023-09-22 00:00:00+00:00,26593.192190924892
2023-09-23 00:00:00+00:00,26579.03051325872
2023-09-24 00:00:00+00:00,26580.230157385533
2023-09-25 00:00:00+00:00,26261.604276517748
2023-09-26 00:00:00+00:00,26291.389664219507
2023-09-27 00:00:00+00:00,26210.002821761325
2023-09-28 00:00:00+00:00,26346.125482854193
2023-09-29 00:00:00+00:00,26996.609052464464
2023-09-30 00:00:00+00:00,26914.497304239238
2023-10-01 00:00:00+00:00,26965.309472848287
2023-10-02 00:00:00+00:00,27911.14557020843
2023-10-03 00:00:00+00:00,27528.05920655338
2023-10-04 00:00:00+00:00,27437.840699138167
2023-10-05 00:00:00+00:00,27770.00946826784
2023-10-06 00:00:00+00:00,27442.397457891882
2023-10-07 00:00:00+00:00,27917.370430454506
2023-10-08 00:00:00+00:00,27972.920727396115
2023-10-09 00:00:00+00:00,27942.30562682367
2023-10-10 00:00:00+00:00,27624.854479331178
2023-10-11 00:00:00+00:00,27409.652209835083
2023-10-12 00:00:00+00:00,26872.83072419857
2023-10-13 00:00:00+00:00,26758.47869147963
2023-10-14 00:00:00+00:00,26869.813535494075
2023-10-15 00:00:00+00:00,26860.95672944644
2023-10-16 00:00:00+00:00,27184.36935042458
2023-10-17 00:00:00+00:00,28537.34093707377
2023-10-18 00:00:00+00:00,28427.70469813791
2023-10-19 00:00:00+00:00,28346.850748254616
2023-10-20 00:00:00+00:00,28808.712820710498
2023-10-21 00:00:00+00:00,29812.234487921858
2023-10-22 00:00:00+00:00,30047.94816573469
2023-10-23 00:00:00+00:00,30113.45111989696
2023-10-24 00:00:00+00:00,33427.33717006334
2023-10-25 00:00:00+00:00,34282.29359081242
2023-10-26 00:00:00+00:00,34995.38335184074
2023-10-27 00:00:00+00:00,34453.762226872816
2023-10-28 00:00:00+00:00,34130.76296353704
2023-10-29 00:00:00+00:00,34316.37346347766
2023-10-30 00:00:00+00:00,34783.21155519609
2023-10-31 00:00:00+00:00,34715.88086824569
2023-11-01 00:00:00+00:00,34878.259476110245
2023-11-02 00:00:00+00:00,35698.61094457857
2023-11-03 00:00:00+00:00,35141.554898437666
2023-11-04 00:00:00+00:00,34907.32969230442
2023-11-05 00:00:00+00:00,35275.65305781288
2023-11-06 00:00:00+00:00,35221.49089877927
2023-11-07 00:00:00+00:00,35209.10179210302
2023-11-08 00:00:00+00:00,35594.76343873742
2023-11-09 00:00:00+00:00,35820.906324291005
2023-11-10 00:00:00+00:00,36918.521991773
2023-11-11 00:00:00+00:00,37569.40455198405
2023-11-12 00:00:00+00:00,37378.376368860976
2023-11-13 00:00:00+00:00,37297.02803628087
2023-11-14 00:00:00+00:00,36659.98004157606
2023-11-15 00:00:00+00:00,35690.95666530036
2023-11-16 00:00:00+00:00,38088.53899529125
2023-11-17 00:00:00+00:00,36457.297441124974
2023-11-18 00:00:00+00:00,36760.194950920515
2023-11-19 00:00:00+00:00,36741.566102084435
2023-11-20 00:00:00+00:00,37551.25044678041
2023-11-21 00:00:00+00:00,37648.4574354819
2023-11-22 00:00:00+00:00,35953.28141551571
2023-11-23 00:00:00+00:00,37412.670593690986
2023-11-24 00:00:00+00:00,37456.14885971427
2023-11-25 00:00:00+00:00,37862.49215540846
2023-11-26 00:00:00+00:00,37964.72351511698
2023-11-27 00:00:00+00:00,37651.48750462687
2023-11-28 00:00:00+00:00,37401.96430760015
2023-11-29 00:00:00+00:00,37923.41548871005
2023-11-30 00:00:00+00:00,38000.07633950917
2023-12-01 00:00:00+00:00,37872.62819776916
2023-12-02 00:00:00+00:00,38757.56166480766
2023-12-03 00:00:00+00:00,39568.34919410839
2023-12-04 00:00:00+00:00,40130.23038850469
2023-12-05 00:00:00+00:00,42078.15264173497
2023-12-06 00:00:00+00:00,44376.22477776773
2023-12-07 00:00:00+00:00,44105.09454148584
2023-12-08 00:00:00+00:00,43568.14422812004
2023-12-09 00:00:00+00:00,44466.20394650006
2023-12-10 00:00:00+00:00,43999.89142487221
2023-12-11 00:00:00+00:00,44042.5659512588
2023-12-12 00:00:00+00:00,41403.45185598804
2023-12-13 00:00:00+00:00,41540.25202816304
2023-12-14 00:00:00+00:00,43045.25500970379
2023-12-15 00:00:00+00:00,43217.226961014836
2023-12-16 00:00:00+00:00,42086.78023575705
2023-12-17 00:00:00+00:00,42341.325642880765
2023-12-18 00:00:00+00:00,41449.53826334517
2023-12-19 00:00:00+00:00,42717.39014680127
2023-12-20 00:00:00+00:00,42376.16234206993
2023-12-21 00:00:00+00:00,43716.54185491008
2023-12-22 00:00:00+00:00,43984.57594671666
2023-12-23 00:00:00+00:00,44139.05146725267
2023-12-24 00:00:00+00:00,43909.51707353823
2023-12-25 00:00:00+00:00,43245.193558638646
2023-12-26 00:00:00+00:00,43696.967422503265
2023-12-27 00:00:00+00:00,42757.476008023914
2023-12-28 00:00:00+00:00,43532.104145458434
2023-12-29 00:00:00+00:00,42821.37844640368
2023-12-30 00:00:00+00:00,42279.32442822274
2023-12-31 00:00:00+00:00,42285.59906867822
2024-01-01 00:00:00+00:00,42389.54671448852
2024-01-02 00:00:00+00:00,44131.61172982683
2024-01-03 00:00:00+00:00,45045.11009840877
2024-01-04 00:00:00+00:00,43220.92760577898
2024-01-05 00:00:00+00:00,44191.168768677766
2024-01-06 00:00:00+00:00,44329.8838340061
2024-01-07 00:00:00+00:00,44191.178837950516
2024-01-08 00:00:00+00:00,44121.22122554398
2024-01-09 00:00:00+00:00,46699.041356903246
2024-01-10 00:00:00+00:00,46376.88694840218
2024-01-11 00:00:00+00:00,46790.15926476024
2024-01-12 00:00:00+00:00,46600.84282679146
2024-01-13 00:00:00+00:00,43547.55431675364
2024-01-14 00:00:00+00:00,43061.86750562388
2024-01-15 00:00:00+00:00,42009.35591710791
2024-01-16 00:00:00+00:00,42568.221846690256
2024-01-17 00:00:00+00:00,43196.13970263821
2024-01-18 00:00:00+00:00,42930.66673377181
2024-01-19 00:00:00+00:00,41607.243714724675
