Timestamp,Persistence_Enhanced_Transformer
2023-08-12 00:00:00+00:00,28741.579866170883
2023-08-13 00:00:00+00:00,28758.140666484833
2023-08-14 00:00:00+00:00,28630.065996170044
2023-08-15 00:00:00+00:00,28751.288217544556
2023-08-16 00:00:00+00:00,28520.78960609436
2023-08-17 00:00:00+00:00,28061.05993616581
2023-08-18 00:00:00+00:00,26050.55267393589
2023-08-19 00:00:00+00:00,25472.914992034435
2023-08-20 00:00:00+00:00,25518.042001247406
2023-08-21 00:00:00+00:00,25610.93131828308
2023-08-22 00:00:00+00:00,25545.38656771183
2023-08-23 00:00:00+00:00,25464.25130236149
2023-08-24 00:00:00+00:00,25843.876064777374
2023-08-25 00:00:00+00:00,25587.161169052124
2023-08-26 00:00:00+00:00,25468.444507598877
2023-08-27 00:00:00+00:00,25428.98414373398
2023-08-28 00:00:00+00:00,25508.342158794403
2023-08-29 00:00:00+00:00,25521.242148041725
2023-08-30 00:00:00+00:00,27107.38615322113
2023-08-31 00:00:00+00:00,26691.12524986267
2023-09-01 00:00:00+00:00,25355.26039338112
2023-09-02 00:00:00+00:00,25224.3082729578
2023-09-03 00:00:00+00:00,25295.07259607315
2023-09-04 00:00:00+00:00,25392.777472138405
2023-09-05 00:00:00+00:00,25245.16907095909
2023-09-06 00:00:00+00:00,25209.975323200226
2023-09-07 00:00:00+00:00,25174.81395816803
2023-09-08 00:00:00+00:00,25660.767259299755
2023-09-09 00:00:00+00:00,25331.570250034332
2023-09-10 00:00:00+00:00,25322.699481725693
2023-09-11 00:00:00+00:00,25261.352359056473
2023-09-12 00:00:00+00:00,24595.63569009304
2023-09-13 00:00:00+00:00,25268.821665287018
2023-09-14 00:00:00+00:00,25641.607142686844
2023-09-15 00:00:00+00:00,25937.73839378357
2023-09-16 00:00:00+00:00,26013.980948209763
2023-09-17 00:00:00+00:00,25978.349370360374
2023-09-18 00:00:00+00:00,25943.081156909466
2023-09-19 00:00:00+00:00,26172.765590548515
2023-09-20 00:00:00+00:00,26606.730255246162
2023-09-21 00:00:00+00:00,26522.74147796631
2023-09-22 00:00:00+00:00,25970.682966947556
2023-09-23 00:00:00+00:00,25988.406756341457
2023-09-24 00:00:00+00:00,25989.95020633936
2023-09-25 00:00:00+00:00,25662.638179779053
2023-09-26 00:00:00+00:00,25710.592443823814
2023-09-27 00:00:00+00:00,25623.38963699341
2023-09-28 00:00:00+00:00,25772.965734422207
2023-09-29 00:00:00+00:00,26423.018832325935
2023-09-30 00:00:00+00:00,26309.838745117188
2023-10-01 00:00:00+00:00,26363.63421690464
2023-10-02 00:00:00+00:00,27369.299698472023
2023-10-03 00:00:00+00:00,26892.554292082787
2023-10-04 00:00:00+00:00,26822.663000822067
2023-10-05 00:00:00+00:00,27169.43146586418
2023-10-06 00:00:00+00:00,26804.97323870659
2023-10-07 00:00:00+00:00,27323.593379974365
2023-10-08 00:00:00+00:00,27345.821103990078
2023-10-09 00:00:00+00:00,27308.843594133854
2023-10-10 00:00:00+00:00,26977.531956911087
2023-10-11 00:00:00+00:00,26783.088782429695
2023-10-12 00:00:00+00:00,26272.590465188026
2023-10-13 00:00:00+00:00,26157.827619314194
2023-10-14 00:00:00+00:00,26265.55174666643
2023-10-15 00:00:00+00:00,26253.863598704338
2023-10-16 00:00:00+00:00,26565.611176371574
2023-10-17 00:00:00+00:00,27878.470368504524
2023-10-18 00:00:00+00:00,27771.006593704224
2023-10-19 00:00:00+00:00,27692.813943862915
2023-10-20 00:00:00+00:00,28088.607788980007
2023-10-21 00:00:00+00:00,29021.046971797943
2023-10-22 00:00:00+00:00,29254.80795586109
2023-10-23 00:00:00+00:00,29328.404133200645
2023-10-24 00:00:00+00:00,32331.012614011765
